date,platform,operating_system,year,month,counts
2021-03-31,Mobile Web,Tizen,2021,3,1
2021-03-31,Desktop,Windows,2021,3,9474
2021-03-31,Desktop,(not set),2021,3,1
2021-03-31,Android,Android,2021,3,33509
2021-03-31,Desktop,iOS,2021,3,129
2021-03-31,Desktop,Chrome OS,2021,3,9
2021-03-31,iOS,iOS,2021,3,8404
2021-03-31,Mobile Web,iOS,2021,3,5365
2021-03-31,Mobile Web,Android,2021,3,13403
2021-03-31,Desktop,Android,2021,3,144
2021-03-31,Desktop,Macintosh,2021,3,648
2021-03-31,Mobile Web,BlackBerry,2021,3,2
2021-03-31,Desktop,Linux,2021,3,59
2021-03-30,Mobile Web,Android,2021,3,13523
2021-03-30,Desktop,Macintosh,2021,3,718
2021-03-30,Mobile Web,Windows,2021,3,2
2021-03-30,Mobile Web,iOS,2021,3,5434
2021-03-30,Desktop,Android,2021,3,115
2021-03-30,Desktop,Windows,2021,3,10114
2021-03-30,Desktop,(not set),2021,3,2
2021-03-30,Mobile Web,Tizen,2021,3,1
2021-03-30,Android,Android,2021,3,33127
2021-03-30,Desktop,Linux,2021,3,60
2021-03-30,Desktop,iOS,2021,3,113
2021-03-30,Desktop,Chrome OS,2021,3,21
2021-03-30,iOS,iOS,2021,3,8424
2021-03-29,Android,Android,2021,3,35231
2021-03-29,iOS,iOS,2021,3,8650
2021-03-29,Desktop,iOS,2021,3,145
2021-03-29,Desktop,Chrome OS,2021,3,18
2021-03-29,Mobile Web,iOS,2021,3,5557
2021-03-29,Mobile Web,Linux,2021,3,4
2021-03-29,Mobile Web,Android,2021,3,13730
2021-03-29,Desktop,Linux,2021,3,50
2021-03-29,Desktop,Android,2021,3,157
2021-03-29,Desktop,(not set),2021,3,3
2021-03-29,Mobile Web,Tizen,2021,3,2
2021-03-29,Mobile Web,BlackBerry,2021,3,2
2021-03-29,Desktop,Macintosh,2021,3,687
2021-03-29,Desktop,Windows,2021,3,9884
2021-03-28,Mobile Web,Windows,2021,3,1
2021-03-28,Desktop,Windows,2021,3,4937
2021-03-28,Desktop,Android,2021,3,143
2021-03-28,Desktop,Chrome OS,2021,3,7
2021-03-28,Desktop,iOS,2021,3,125
2021-03-28,Desktop,Linux,2021,3,45
2021-03-28,Desktop,Macintosh,2021,3,527
2021-03-28,Mobile Web,Android,2021,3,13290
2021-03-28,Desktop,(not set),2021,3,2
2021-03-28,Android,Android,2021,3,32862
2021-03-28,Mobile Web,Tizen,2021,3,4
2021-03-28,Mobile Web,BlackBerry,2021,3,3
2021-03-28,iOS,iOS,2021,3,8020
2021-03-28,Mobile Web,iOS,2021,3,5298
