date,vertical,seller_type,year,month,sumOfLeads,ad_id
2019-01-01,Auto,Private,2019,1,154053.195447532,13891
2019-01-01,Auto,Pro,2019,1,151166.95045124,21577
2019-01-01,Generalist,Private,2019,1,240119.303765624,28677
2019-01-01,Generalist,Pro,2019,1,57941.275041036,8532
2019-01-01,Jobs,Private,2019,1,327.005564514,39
2019-01-01,Jobs,Pro,2019,1,48040.42422495,3109
2019-01-01,Property,Private,2019,1,99048.744384318,11395
2019-01-01,Property,Pro,2019,1,119195.402233336,16645
2019-01-01,Services,Private,2019,1,417.90045445,62
2019-01-01,Services,Pro,2019,1,10715.858506984,1683
2019-01-02,Auto,Private,2019,1,159022.348270654,14867
2019-01-02,Auto,Pro,2019,1,190720.71779104,26453
2019-01-02,Generalist,Private,2019,1,265256.066294106,30594
2019-01-02,Generalist,Pro,2019,1,66552.963838442,9600
2019-01-02,Jobs,Private,2019,1,896.509637544,86
2019-01-02,Jobs,Pro,2019,1,83518.690864806,3838
2019-01-02,Property,Private,2019,1,140766.29203353,13973
2019-01-02,Property,Pro,2019,1,155966.779280562,21434
2019-01-02,Services,Private,2019,1,402.459668402,65
2019-01-02,Services,Pro,2019,1,13919.666592066,2101
2019-01-03,Auto,Private,2019,1,166190.785787222,15166
2019-01-03,Auto,Pro,2019,1,193607.898574774,27000
2019-01-03,Generalist,Private,2019,1,290719.55353936,32153
2019-01-03,Generalist,Pro,2019,1,65429.602670602,9670
2019-01-03,Jobs,Private,2019,1,701.775986766,66
2019-01-03,Jobs,Pro,2019,1,77448.879712254,3736
2019-01-03,Property,Private,2019,1,130789.04519444,13360
2019-01-03,Property,Pro,2019,1,152645.05653031,20770
2019-01-03,Services,Private,2019,1,539.84956938,97
2019-01-03,Services,Pro,2019,1,15818.604772424,2466
2019-01-04,Auto,Private,2019,1,152528.282910936,14359
2019-01-04,Auto,Pro,2019,1,182701.697910606,25899
2019-01-04,Generalist,Private,2019,1,277887.693648384,31260
2019-01-04,Generalist,Pro,2019,1,62013.64826413,9246
2019-01-04,Jobs,Private,2019,1,558.481413552,54
2019-01-04,Jobs,Pro,2019,1,66804.664876332,3541
2019-01-04,Property,Private,2019,1,125370.806510534,12857
2019-01-04,Property,Pro,2019,1,147456.64936637,20516
2019-01-04,Services,Private,2019,1,459.202434906,84
2019-01-04,Services,Pro,2019,1,15938.027509566,2538
2019-01-05,Auto,Private,2019,1,158803.475491098,14647
2019-01-05,Auto,Pro,2019,1,185971.856011718,25710
2019-01-05,Generalist,Private,2019,1,277014.93461084,30736
2019-01-05,Generalist,Pro,2019,1,62229.53753428,8992
2019-01-05,Jobs,Private,2019,1,246.172728342,32
2019-01-05,Jobs,Pro,2019,1,49432.953539004,3129
2019-01-05,Property,Private,2019,1,104757.836897122,11594
2019-01-05,Property,Pro,2019,1,132628.001545624,18161
2019-01-05,Services,Private,2019,1,560.51372276,94
2019-01-05,Services,Pro,2019,1,14999.771286582,2435
2019-01-06,,Pro,2019,1,2,1
2019-01-06,Auto,Private,2019,1,175293.748665902,15407
2019-01-06,Auto,Pro,2019,1,171099.240392898,24169
