date,channel_grouping,platform,year,month,sumOfLeads
2019-01-01,,Android,2019,1,455341.294843993
2019-01-01,,Desktop,2019,1,144153.318912373
2019-01-01,,Mobile Web,2019,1,244040.433022743
2019-01-01,,iOS,2019,1,125327.015045067
2019-01-02,,Android,2019,1,492331.335770083
2019-01-02,,Desktop,2019,1,275265.896027339
2019-01-02,,Mobile Web,2019,1,269856.840269539
2019-01-02,,iOS,2019,1,144553.946778127
2019-01-03,,Android,2019,1,522698.007543115
2019-01-03,,Desktop,2019,1,270853.632392125
2019-01-03,,Mobile Web,2019,1,266701.629486006
2019-01-03,,iOS,2019,1,140674.180703453
2019-01-04,,Android,2019,1,488945.161536509
2019-01-04,,Desktop,2019,1,241256.091231058
2019-01-04,,Mobile Web,2019,1,265234.480008949
2019-01-04,,iOS,2019,1,137135.588468205
2019-01-05,,Android,2019,1,508181.174228335
2019-01-05,,Desktop,2019,1,158676.293815641
2019-01-05,,Mobile Web,2019,1,272460.753760285
2019-01-05,,iOS,2019,1,145403.370816078
2019-01-06,,Android,2019,1,496454.974987637
2019-01-06,,Desktop,2019,1,155963.395011834
2019-01-06,,Mobile Web,2019,1,278765.966398529
2019-01-06,,iOS,2019,1,150312.515096
2019-01-07,,Android,2019,1,495804.303692011
2019-01-07,,Desktop,2019,1,288111.431064333
2019-01-07,,Mobile Web,2019,1,278819.101417037
2019-01-07,,iOS,2019,1,145671.366307888
2019-01-08,,Android,2019,1,487405.729329283
2019-01-08,,Desktop,2019,1,279411.690539733
2019-01-08,,Mobile Web,2019,1,274252.90936043
2019-01-08,,iOS,2019,1,146237.072546728
2019-01-09,,Android,2019,1,472463.769743672
2019-01-09,,Desktop,2019,1,278874.190471036
2019-01-09,,Mobile Web,2019,1,264611.065575863
2019-01-09,,iOS,2019,1,141077.601143743
2019-01-10,,Android,2019,1,476688.033714974
2019-01-10,,Desktop,2019,1,263090.377596244
2019-01-10,,Mobile Web,2019,1,255488.254219017
2019-01-10,,iOS,2019,1,132817.627611498
2019-01-11,,Android,2019,1,469887.192143326
2019-01-11,,Desktop,2019,1,230273.690649074
2019-01-11,,Mobile Web,2019,1,242046.414562547
2019-01-11,,iOS,2019,1,128489.586068005
2019-01-12,,Android,2019,1,461904.678992577
2019-01-12,,Desktop,2019,1,144085.10901164
2019-01-12,,Mobile Web,2019,1,248429.485496877
2019-01-12,,iOS,2019,1,131405.430361588
2019-01-13,,Android,2019,1,458423.736445704
2019-01-13,,Desktop,2019,1,145103.063176236
2019-01-13,,Mobile Web,2019,1,257498.500162108
2019-01-13,,iOS,2019,1,131456.873435261
2019-01-14,,Android,2019,1,466802.872699566
2019-01-14,,Desktop,2019,1,277091.829205323
2019-01-14,,Mobile Web,2019,1,256419.409928577
2019-01-14,,iOS,2019,1,140344.760201546
2019-01-15,,Android,2019,1,456251.034754789
2019-01-15,,Desktop,2019,1,268437.115304079
2019-01-15,,Mobile Web,2019,1,249599.852734303
2019-01-15,,iOS,2019,1,136903.203470591
2019-01-16,,Android,2019,1,455645.160965209
2019-01-16,,Desktop,2019,1,263459.468183858
2019-01-16,,Mobile Web,2019,1,243270.608753642
2019-01-16,,iOS,2019,1,127917.46637638
2019-01-17,,Android,2019,1,455682.963706423
2019-01-17,,Desktop,2019,1,262432.469974203
2019-01-17,,Mobile Web,2019,1,237224.591941855
2019-01-17,,iOS,2019,1,127667.70707903
2019-01-18,,Android,2019,1,434317.993395283
2019-01-18,,Desktop,2019,1,213592.689362096
2019-01-18,,Mobile Web,2019,1,224051.629942743
2019-01-18,,iOS,2019,1,116490.605651283
2019-01-19,,Android,2019,1,430153.740966729
2019-01-19,,Desktop,2019,1,130289.803661737
2019-01-19,,Mobile Web,2019,1,223664.747085361
2019-01-19,,iOS,2019,1,121037.343020682
2019-01-20,,Android,2019,1,397738.332323412
2019-01-20,,Desktop,2019,1,124739.183875831
2019-01-20,,Mobile Web,2019,1,233284.806535254
2019-01-20,,iOS,2019,1,117079.678546833
2019-01-21,,Android,2019,1,421290.414166437
2019-01-21,,Desktop,2019,1,174312.937340859
2019-01-21,,Mobile Web,2019,1,253417.63388476
2019-01-21,,iOS,2019,1,126504.228045793
2019-01-22,,Android,2019,1,431938.91162843
2019-01-22,,Desktop,2019,1,259195.400675894
2019-01-22,,Mobile Web,2019,1,242173.865628719
2019-01-22,,iOS,2019,1,133730.609887422
2019-01-23,,Android,2019,1,429529.375378473
2019-01-23,,Desktop,2019,1,250480.295423899
2019-01-23,,Mobile Web,2019,1,236675.772894618
2019-01-23,,iOS,2019,1,128684.639497848
2019-01-24,,Android,2019,1,417863.774937584
2019-01-24,,Desktop,2019,1,239539.00920474
2019-01-24,,Mobile Web,2019,1,232368.254806462
2019-01-24,,iOS,2019,1,120287.731235451
2019-01-25,,Android,2019,1,411945.788263538
2019-01-25,,Desktop,2019,1,203919.594313947
2019-01-25,,Mobile Web,2019,1,226062.018436262
2019-01-25,,iOS,2019,1,117722.83349144
2019-01-26,,Android,2019,1,411249.56434322
2019-01-26,,Desktop,2019,1,131791.006179536
2019-01-26,,Mobile Web,2019,1,218413.201992606
2019-01-26,,iOS,2019,1,123468.608389586
2019-01-27,,Android,2019,1,409254.243969858
2019-01-27,,Desktop,2019,1,126979.921802772
2019-01-27,,Mobile Web,2019,1,227877.908682489
2019-01-27,,iOS,2019,1,121009.012265499
2019-01-28,,Android,2019,1,445821.559933704
2019-01-28,,Desktop,2019,1,242060.088692492
2019-01-28,,Mobile Web,2019,1,244141.144383685
2019-01-28,,iOS,2019,1,130144.510697011
2019-01-29,,Android,2019,1,447560.102289375
2019-01-29,,Desktop,2019,1,333222.204869497
2019-01-29,,Mobile Web,2019,1,235833.915413341
2019-01-29,,iOS,2019,1,131959.937142606
2019-01-30,,Android,2019,1,432184.128969813
2019-01-30,,Desktop,2019,1,230072.893520218
2019-01-30,,Mobile Web,2019,1,238266.031074075
2019-01-30,,iOS,2019,1,126188.709074641
2019-01-31,,Android,2019,1,441570.03179493
2019-01-31,,Desktop,2019,1,208507.955002263
2019-01-31,,Mobile Web,2019,1,235537.834001405
2019-01-31,,iOS,2019,1,126282.462210071
2019-02-01,,Android,2019,2,431360.099610826
2019-02-01,,Desktop,2019,2,156639.969955731
2019-02-01,,Mobile Web,2019,2,221231.582221768
2019-02-01,,iOS,2019,2,116053.183194566
2019-02-02,,Android,2019,2,426394.910845922
2019-02-02,,Desktop,2019,2,103087.771557431
2019-02-02,,Mobile Web,2019,2,214004.076868792
2019-02-02,,iOS,2019,2,121179.432707934
2019-02-03,,Android,2019,2,405205.68932523
2019-02-03,,Desktop,2019,2,96755.713618771
2019-02-03,,Mobile Web,2019,2,215795.721971659
2019-02-03,,iOS,2019,2,115197.560742602
2019-02-04,,Android,2019,2,401355.190440546
2019-02-04,,Desktop,2019,2,139713.372162212
2019-02-04,,Mobile Web,2019,2,201115.153913285
2019-02-04,,iOS,2019,2,113782.415592185
2019-02-05,,Android,2019,2,376292.122425983
2019-02-05,,Desktop,2019,2,87221.813855896
2019-02-05,,Mobile Web,2019,2,198148.692163528
2019-02-05,,iOS,2019,2,105125.746190547
2019-02-06,,Android,2019,2,416499.405667718
2019-02-06,,Desktop,2019,2,97012.678567805
2019-02-06,,Mobile Web,2019,2,218041.236261675
2019-02-06,,iOS,2019,2,115676.901345317
2019-02-07,,Android,2019,2,448402.254653463
2019-02-07,,Desktop,2019,2,197659.730017604
2019-02-07,,Mobile Web,2019,2,237399.172105463
2019-02-07,,iOS,2019,2,130787.582974642
2019-02-08,,Android,2019,2,432152.494137524
2019-02-08,,Desktop,2019,2,185296.279454876
2019-02-08,,Mobile Web,2019,2,239863.260552704
2019-02-08,,iOS,2019,2,130047.305836116
2019-02-09,,Android,2019,2,436845.359506792
2019-02-09,,Desktop,2019,2,123095.353026017
2019-02-09,,Mobile Web,2019,2,240682.774983488
2019-02-09,,iOS,2019,2,133239.585347676
2019-02-10,,Android,2019,2,423530.375784749
2019-02-10,,Desktop,2019,2,127437.754074929
2019-02-10,,Mobile Web,2019,2,244012.730399955
2019-02-10,,iOS,2019,2,126180.650835644
2019-02-11,,Android,2019,2,467727.732180838
2019-02-11,,Desktop,2019,2,253457.554794349
2019-02-11,,Mobile Web,2019,2,259919.949461779
2019-02-11,,iOS,2019,2,141118.225021208
2019-02-12,,Android,2019,2,431290.652825239
2019-02-12,,Desktop,2019,2,255736.955737846
2019-02-12,,Mobile Web,2019,2,255766.172238239
2019-02-12,,iOS,2019,2,130186.074711952
2019-02-13,,Android,2019,2,436745.794811258
2019-02-13,,Desktop,2019,2,245217.355766777
2019-02-13,,Mobile Web,2019,2,248445.255164108
