date,channel_grouping,platform,year,month,sumOfLeads,ad_id
2019-01-01,,Android,2019,1,455341.2948,59084
2019-01-01,,Desktop,2019,1,144153.3189,25019
2019-01-01,,Mobile Web,2019,1,244040.433,34315
2019-01-01,,iOS,2019,1,125327.015,15062
2019-01-02,,Android,2019,1,492331.3358,63932
2019-01-02,,Desktop,2019,1,275265.896,42173
2019-01-02,,Mobile Web,2019,1,269856.8403,37703
2019-01-02,,iOS,2019,1,144553.9468,17150
2019-01-03,,Android,2019,1,522698.0075,65725
2019-01-03,,Desktop,2019,1,270853.6324,42101
2019-01-03,,Mobile Web,2019,1,266701.6295,37284
2019-01-03,,iOS,2019,1,140674.1807,16618
2019-01-04,,Android,2019,1,488945.1615,63273
2019-01-04,,Desktop,2019,1,241256.0912,38114
2019-01-04,,Mobile Web,2019,1,265234.48,37730
2019-01-04,,iOS,2019,1,137135.5885,16336
2019-01-05,,Android,2019,1,508181.1742,65167
2019-01-05,,Desktop,2019,1,158676.2938,27072
2019-01-05,,Mobile Web,2019,1,272460.7538,38463
2019-01-05,,iOS,2019,1,145403.3708,17056
2019-01-06,,Android,2019,1,496454.975,64000
2019-01-06,,Desktop,2019,1,155963.395,26377
2019-01-06,,Mobile Web,2019,1,278765.9664,39243
2019-01-06,,iOS,2019,1,150312.5151,17629
2019-01-07,,Android,2019,1,495804.3037,63359
2019-01-07,,Desktop,2019,1,288111.4311,43531
2019-01-07,,Mobile Web,2019,1,278819.1014,38396
2019-01-07,,iOS,2019,1,145671.3663,17472
2019-01-08,,Android,2019,1,487405.7293,62174
2019-01-08,,Desktop,2019,1,279411.6905,43229
2019-01-08,,Mobile Web,2019,1,274252.9094,37872
2019-01-08,,iOS,2019,1,146237.0725,17399
2019-01-09,,Android,2019,1,472463.7697,61459
2019-01-09,,Desktop,2019,1,278874.1905,43510
2019-01-09,,Mobile Web,2019,1,264611.0656,37191
2019-01-09,,iOS,2019,1,141077.6011,16649
2019-01-10,,Android,2019,1,476688.0337,62293
2019-01-10,,Desktop,2019,1,263090.3776,41021
2019-01-10,,Mobile Web,2019,1,255488.2542,36285
2019-01-10,,iOS,2019,1,132817.6276,15914
2019-01-11,,Android,2019,1,469887.1921,60729
2019-01-11,,Desktop,2019,1,230273.6906,36726
2019-01-11,,Mobile Web,2019,1,242046.4146,34744
2019-01-11,,iOS,2019,1,128489.5861,15342
2019-01-12,,Android,2019,1,461904.679,61038
2019-01-12,,Desktop,2019,1,144085.109,24661
2019-01-12,,Mobile Web,2019,1,248429.4855,35986
2019-01-12,,iOS,2019,1,131405.4304,15792
2019-01-13,,Android,2019,1,458423.7364,60235
2019-01-13,,Desktop,2019,1,145103.0632,25204
2019-01-13,,Mobile Web,2019,1,257498.5002,37037
2019-01-13,,iOS,2019,1,131456.8734,15773
2019-01-14,,Android,2019,1,466802.8727,61681
2019-01-14,,Desktop,2019,1,277091.8292,42576
2019-01-14,,Mobile Web,2019,1,256419.4099,36283
2019-01-14,,iOS,2019,1,140344.7602,16762
2019-01-15,,Android,2019,1,456251.0348,61139
2019-01-15,,Desktop,2019,1,268437.1153,42114
2019-01-15,,Mobile Web,2019,1,249599.8527,35689
2019-01-15,,iOS,2019,1,136903.2035,16571
2019-01-16,,Android,2019,1,455645.161,60585
2019-01-16,,Desktop,2019,1,263459.4682,41066
2019-01-16,,Mobile Web,2019,1,243270.6088,35193
2019-01-16,,iOS,2019,1,127917.4664,15396
2019-01-17,,Android,2019,1,455682.9637,60798
2019-01-17,,Desktop,2019,1,262432.47,41728
2019-01-17,,Mobile Web,2019,1,237224.5919,34386
2019-01-17,,iOS,2019,1,127667.7071,15524
2019-01-18,,Android,2019,1,434317.9934,57494
2019-01-18,,Desktop,2019,1,213592.6894,34801
2019-01-18,,Mobile Web,2019,1,224051.6299,32809
2019-01-18,,iOS,2019,1,116490.6057,14127
2019-01-19,,Android,2019,1,430153.741,58077
2019-01-19,,Desktop,2019,1,130289.8037,22896
2019-01-19,,Mobile Web,2019,1,223664.7471,33504
2019-01-19,,iOS,2019,1,121037.343,14734
2019-01-20,,Android,2019,1,397738.3323,54723
2019-01-20,,Desktop,2019,1,124739.1839,21821
2019-01-20,,Mobile Web,2019,1,233284.8065,34634
2019-01-20,,iOS,2019,1,117079.6785,14398
2019-01-21,,Android,2019,1,421290.4142,57201
2019-01-21,,Desktop,2019,1,174312.9373,29548
2019-01-21,,Mobile Web,2019,1,253417.6339,36697
2019-01-21,,iOS,2019,1,126504.228,15369
2019-01-22,,Android,2019,1,431938.9116,58224
2019-01-22,,Desktop,2019,1,259195.4007,40761
2019-01-22,,Mobile Web,2019,1,242173.8656,34592
2019-01-22,,iOS,2019,1,133730.6099,16036
2019-01-23,,Android,2019,1,429529.3754,58109
2019-01-23,,Desktop,2019,1,250480.2954,39672
2019-01-23,,Mobile Web,2019,1,236675.7729,34111
2019-01-23,,iOS,2019,1,128684.6395,15473
2019-01-24,,Android,2019,1,417863.7749,56020
2019-01-24,,Desktop,2019,1,239539.0092,37919
2019-01-24,,Mobile Web,2019,1,232368.2548,33004
2019-01-24,,iOS,2019,1,120287.7312,14466
2019-01-25,,Android,2019,1,411945.7883,55955
2019-01-25,,Desktop,2019,1,203919.5943,33244
2019-01-25,,Mobile Web,2019,1,226062.0184,32692
2019-01-25,,iOS,2019,1,117722.8335,14247
2019-01-26,,Android,2019,1,411249.5643,55278
2019-01-26,,Desktop,2019,1,131791.0062,22743
2019-01-26,,Mobile Web,2019,1,218413.202,32139
2019-01-26,,iOS,2019,1,123468.6084,14673
2019-01-27,,Android,2019,1,409254.244,56051
2019-01-27,,Desktop,2019,1,126979.9218,22399
2019-01-27,,Mobile Web,2019,1,227877.9087,33738
2019-01-27,,iOS,2019,1,121009.0123,14710
2019-01-28,,Android,2019,1,445821.5599,58787
2019-01-28,,Desktop,2019,1,242060.0887,38134
2019-01-28,,Mobile Web,2019,1,244141.1444,34808
