"Year,month",subcategory,Avg_leads
2019-01,Accessories for Phones & Gadgets,4186.492505211161
2019-01,Accommodation & Homestays,5590.723507308259
2019-01,Apartments,92674.40230085388
2019-01,Bags & Wallets,4961.988612384645
2019-01,Bed & Bath,1699.1316166637419
2019-01,Business for Sale,2198.3083652409678
2019-01,Cameras & Photography,8132.547199661421
2019-01,Car Accessories & Parts,54243.67469843627
2019-01,Cars,170131.2864975964
2019-01,Clothes,6928.493866498065
2019-01,Commercial Properties,7702.844311672257
2019-01,Commercial Vehicle & Boats,7512.81293469
2019-01,Computers & Accessories,20274.113209443094
2019-01,Food,1817.3485219055483
2019-01,Furniture & Decoration,13916.994073182968
2019-01,Games & Consoles,12923.97610055226
2019-01,Garden Items,2246.8643815483874
2019-01,Health & Beauty,3440.2577415119995
2019-01,Hobby & Collectibles,12883.364207253937
2019-01,Home Appliances & Kitchen,21603.310119204387
2019-01,Houses,85451.57441002163
2019-01,Jobs,62839.82611441741
2019-01,Land,12480.802647648
2019-01,Mobile Phones & Gadgets,125010.56057881548
2019-01,Moms & Kids,5357.466090474194
2019-01,Motorcycle Accessories & Parts,15590.036501450322
2019-01,Motorcycles,71661.87008249342
2019-01,Music Instruments,2803.033698042581
2019-01,Music/Movies/Books/Magazines,707.7693350659355
2019-01,Other Accessories & Parts,853.5519457662582
2019-01,Others,1870.697602379032
2019-01,Pets,19300.33341894619
2019-01,Professional/Business Equipment,3385.908517796646
2019-01,Rooms,48972.483417623625
2019-01,Services,6979.356416908709
2019-01,Shoes,7473.253352310967
2019-01,Sports & Outdoors,10958.509399167357
2019-01,TV/Audio/Video,11512.360206131612
2019-01,Textbooks,242.34677415251613
2019-01,Tickets & Vouchers,294.87727146787097
2019-01,Tours and Holidays,1102.1126592210971
2019-01,Watches & Fashion Accessories,8602.447679234323
2019-01,Wedding,493.0844378771612
2019-02,Accessories for Phones & Gadgets,3894.1745396669285
2019-02,Accommodation & Homestays,5468.581446358
2019-02,Apartments,82714.07678870001
2019-02,Bags & Wallets,4628.050240785571
2019-02,Bed & Bath,1430.6992578734287
2019-02,Business for Sale,2084.3262505476428
2019-02,Cameras & Photography,7464.368713408
2019-02,Car Accessories & Parts,48010.688308305354
2019-02,Cars,155370.50281285972
2019-02,Clothes,6787.661504777144
2019-02,Commercial Properties,6850.395927925714
2019-02,Commercial Vehicle & Boats,6755.566256687643
2019-02,Computers & Accessories,18606.991757528573
2019-02,Food,1880.9648593357144
2019-02,Furniture & Decoration,12545.748006783428
2019-02,Games & Consoles,12163.036944249001
2019-02,Garden Items,2089.71690157
2019-02,Health & Beauty,3489.2023845654285
2019-02,Hobby & Collectibles,13541.630060855143
2019-02,Home Appliances & Kitchen,20279.002232401715
2019-02,Houses,79431.48271533535
2019-02,Jobs,58844.33640116635
2019-02,Land,12408.33576298
2019-02,Mobile Phones & Gadgets,126772.822112155
2019-02,Moms & Kids,4955.027421504642
2019-02,Motorcycle Accessories & Parts,14286.83983789714
2019-02,Motorcycles,62376.349193896494
2019-02,Music Instruments,2537.845198855714
2019-02,Music/Movies/Books/Magazines,672.1152671590002
2019-02,Other Accessories & Parts,804.008443328
2019-02,Others,1959.0116584821426
2019-02,Pets,19331.77533116757
2019-02,Professional/Business Equipment,3159.1551029
2019-02,Rooms,45619.235258605506
2019-02,Services,6581.972843818928
2019-02,Shoes,7405.190077625429
2019-02,Sports & Outdoors,10357.863177757072
2019-02,TV/Audio/Video,10193.976141543428
2019-02,Textbooks,257.0192307257143
2019-02,Tickets & Vouchers,277.6851711437143
2019-02,Tours and Holidays,1036.7070123985714
2019-02,Watches & Fashion Accessories,8222.739834464142
2019-02,Wedding,416.54864579200006
2019-03,Accessories for Phones & Gadgets,2783.372522804451
2019-03,Accommodation & Homestays,5542.671375260646
2019-03,Apartments,90525.26048614901
2019-03,Bags & Wallets,3217.2284305885164
2019-03,Bed & Bath,1369.9943934529033
2019-03,Business for Sale,2165.7408339040644
2019-03,Cameras & Photography,6504.944862953291
2019-03,Car Accessories & Parts,46850.55390536329
2019-03,Cars,150902.99534276364
2019-03,Clothes,4585.33294879742
2019-03,Commercial Properties,8475.357617628388
2019-03,Commercial Vehicle & Boats,6937.431825216
2019-03,Computers & Accessories,15139.029900142454
2019-03,Food,1752.0466123445158
2019-03,Furniture & Decoration,11875.457309995356
2019-03,Games & Consoles,9428.799412964903
2019-03,Garden Items,1856.2464080503228
2019-03,Health & Beauty,2471.3470400960005
2019-03,Hobby & Collectibles,11719.87790690813
2019-03,Home Appliances & Kitchen,20436.623962046702
2019-03,Houses,85004.61715514613
2019-03,Jobs,57516.94829552517
2019-03,Land,12259.939720384002
