"Year,month",subcategory,Avg_leads
2019-01,Wedding,493.0844378771612
2019-02,Wedding,416.54864579200006
2019-03,Wedding,278.5417989778065
2019-04,Wedding,316.13322482186663
2019-05,Wedding,234.17874483251614
2019-06,Wedding,274.6751830564
2019-07,Wedding,324.48059001896775
2019-08,Wedding,321.32911622722577
2019-09,Wedding,293.7133170393332
2019-10,Wedding,261.451114184129
2019-11,Wedding,278.1822077374667
2019-12,Wedding,273.45095669883864
2020-01,Wedding,264.7237985063226
2020-02,Wedding,256.15964757889657
2020-03,Wedding,229.08790255354842
2020-04,Wedding,120.74184973386667
2020-05,Wedding,172.84621642399998
2020-06,Wedding,187.75107131853332
2020-07,Wedding,146.65786503058064
2020-08,Wedding,153.25806451090327
2020-09,Wedding,133.76474097693335
2020-10,Wedding,79.56539541406453
2020-11,Wedding,66.18133984013335
2020-12,Wedding,83.31906348935483
2021-01,Wedding,74.54492243606451
2021-02,Wedding,91.53615017671429
2021-03,Wedding,86.39040394438709
