"Year,month",subcategory,Leads_per_ad
2019-01,Apartments,8.536069373750752
2019-02,Apartments,8.20257253472082
2019-03,Apartments,8.068398937712574
2019-04,Apartments,8.048279868052141
2019-05,Apartments,7.651370018266095
2019-06,Apartments,7.559196067821927
2019-07,Apartments,8.021218141311854
2019-08,Apartments,7.74754381648831
2019-09,Apartments,7.947747412796805
2019-10,Apartments,8.019758290045301
2019-11,Apartments,7.917471428170837
2019-12,Apartments,8.34809876345033
2020-01,Apartments,8.209956722051432
2020-02,Apartments,8.25355724061063
2020-03,Apartments,7.358164715373351
2020-04,Apartments,6.815576182509379
2020-05,Apartments,8.312812114675358
2020-06,Apartments,8.832031734248696
2020-07,Apartments,7.8208862944064625
2020-08,Apartments,7.666356494059994
2020-09,Apartments,7.958475806185053
2020-10,Apartments,7.666541401359749
2020-11,Apartments,8.23602697661494
2020-12,Apartments,8.516501946033962
2021-01,Apartments,8.816960502181683
2021-02,Apartments,9.127688909636001
2021-03,Apartments,9.292024724155157
