"Year,month",region,Avg_leads
2019-01,Kuala Lumpur,172568.60459838877
2019-02,Kuala Lumpur,158513.78488609413
2019-03,Kuala Lumpur,154110.72333699942
2019-04,Kuala Lumpur,152596.714502879
2019-05,Kuala Lumpur,142053.15626138097
2019-06,Kuala Lumpur,128010.67196756789
2019-07,Kuala Lumpur,164129.37994381212
2019-08,Kuala Lumpur,164102.86761331602
2019-09,Kuala Lumpur,154364.2391226176
2019-10,Kuala Lumpur,158838.2658689949
2019-11,Kuala Lumpur,166646.8904054213
2019-12,Kuala Lumpur,160901.35036986196
2020-01,Kuala Lumpur,154624.15461628907
2020-02,Kuala Lumpur,156739.4694375403
2020-03,Kuala Lumpur,124242.66388914123
2020-04,Kuala Lumpur,94946.40803063441
2020-05,Kuala Lumpur,141330.70774475895
2020-06,Kuala Lumpur,171728.55630635415
2020-07,Kuala Lumpur,156088.2339834589
2020-08,Kuala Lumpur,148989.4118527609
2020-09,Kuala Lumpur,143152.28035681968
2020-10,Kuala Lumpur,124762.98835296035
2020-11,Kuala Lumpur,121669.24370447974
2020-12,Kuala Lumpur,129546.38866896859
2021-01,Kuala Lumpur,132406.51468761245
2021-02,Kuala Lumpur,117052.00393350069
2021-03,Kuala Lumpur,128797.56509394346
