"Year,month",region,Leads_per_ad
2019-01,Perlis,7.354497680740972
2019-02,Perlis,7.543722576876619
2019-03,Perlis,7.4400990788244075
2019-04,Perlis,7.267356447064057
2019-05,Perlis,7.144110654010962
2019-06,Perlis,7.404886031511529
2019-07,Perlis,7.622385444218518
2019-08,Perlis,8.013378687979825
2019-09,Perlis,7.98628406412971
2019-10,Perlis,7.630028521222431
2019-11,Perlis,7.897549018317977
2019-12,Perlis,7.7293249664462875
2020-01,Perlis,7.647021730946855
2020-02,Perlis,7.8304169316618575
2020-03,Perlis,7.543176827668964
2020-04,Perlis,8.661866903216428
2020-05,Perlis,8.874841228667815
2020-06,Perlis,9.324674937281268
2020-07,Perlis,7.389285016765191
2020-08,Perlis,7.334740467694467
2020-09,Perlis,7.973729492291491
2020-10,Perlis,7.433301411953668
2020-11,Perlis,7.766530769462736
2020-12,Perlis,7.715119363571814
2021-01,Perlis,8.26977409853728
2021-02,Perlis,7.8241882118218395
2021-03,Perlis,7.911516413255872
