"Year,month",channel_grouping,Avg_leads
2019-11,(Other),1908.3324105569668
2019-11,Direct,40102.7452579902
2019-11,Display,87.15784034726667
2019-11,Organic Search,52740.642655028765
2019-11,Paid Search,15478.894566173998
2019-11,Referral,6190.9909202688
2019-11,Social,1048.7731901671334
2019-12,(Other),6381.8469136376125
2019-12,Direct,87850.9960873469
2019-12,Display,582.2092986469031
2019-12,Organic Search,149573.09179348045
2019-12,Paid Search,48652.235559360764
2019-12,Referral,15762.125713271967
2019-12,Social,2327.431289309484
2020-01,(Other),8001.10894613416
2020-01,Direct,117605.34838173211
2020-01,Display,6757.2378967648065
2020-01,Email,23.2313882036129
2020-01,Organic Search,227349.35076319703
2020-01,Paid Search,52275.669758234675
2020-01,Referral,18730.886103855708
2020-01,Social,2507.4816223413873
2020-02,(Other),16269.57501741038
2020-02,Direct,109590.29512125687
2020-02,Display,3975.5834862890683
2020-02,Email,65.037836339
2020-02,Organic Search,234764.18823397183
2020-02,Paid Search,38930.94579212263
2020-02,Referral,21390.807898736584
2020-02,Social,2528.077141119069
2020-03,(Other),9388.149109448837
2020-03,Direct,95852.39640743198
2020-03,Display,2967.1600796314838
2020-03,Email,31.5923656376129
2020-03,Organic Search,181743.2471335415
2020-03,Paid Search,32106.74147552755
2020-03,Referral,15105.743068240257
2020-03,Social,2203.9060154888384
2020-04,(Other),6042.8994097046
2020-04,Direct,86916.39642633422
2020-04,Display,1601.0223886386666
2020-04,Email,128.18703965203335
2020-04,Organic Search,137988.17062298104
2020-04,Paid Search,31330.248377644097
2020-04,Referral,8986.4101493915
2020-04,Social,1309.175595446
2020-05,(Other),14514.641563368066
2020-05,Direct,109888.10433316483
2020-05,Display,1692.0297690129353
2020-05,Email,88.29227972019355
2020-05,Organic Search,199224.3006148214
2020-05,Paid Search,53473.989222578915
2020-05,Referral,15822.36138846242
2020-05,Social,2175.047673699194
2020-06,(Other),24599.646697254502
2020-06,Direct,117960.87240720168
2020-06,Display,3485.098086261066
2020-06,Email,407.83800360833334
2020-06,Organic Search,259005.95124967746
2020-06,Paid Search,57444.16983113583
2020-06,Referral,27935.131383201468
2020-06,Social,2850.8872801066996
2020-07,(Other),18882.14977650942
2020-07,Direct,99553.7109914355
2020-07,Display,3512.2520116240007
2020-07,Email,256.49670000996775
2020-07,Organic Search,241297.59020803345
2020-07,Paid Search,38653.830922526715
2020-07,Referral,24548.711961976776
2020-07,Social,2373.8007790353226
2020-08,(Other),13846.140492944516
2020-08,Direct,101288.39180332325
2020-08,Display,2825.786839243645
2020-08,Email,241.3050856671613
2020-08,Organic Search,222191.87678026524
2020-08,Paid Search,32424.58328227926
2020-08,Referral,23376.296644120517
2020-08,Social,1661.1816536213548
2020-09,(Other),13714.302873583365
2020-09,Direct,77869.1891608037
2020-09,Display,4918.650747707899
2020-09,Email,210.46948067273334
2020-09,Organic Search,213045.44861850885
2020-09,Paid Search,28820.2110632338
2020-09,Referral,25265.502795570133
2020-09,Social,1858.4303054722
2020-10,(Other),18179.450045762416
2020-10,Direct,61335.66393916599
2020-10,Display,2683.410625299613
2020-10,Email,237.99515660490326
2020-10,Organic Search,183928.10289842106
2020-10,Paid Search,29114.31836048213
2020-10,Referral,20163.321091052134
2020-10,Social,1501.1743846032577
2020-11,(Other),24435.78253706357
2020-11,Direct,59073.19617093711
2020-11,Display,1599.3805127342998
2020-11,Email,166.08793484573334
2020-11,Organic Search,158111.9681105449
2020-11,Paid Search,33342.15939072597
2020-11,Referral,16144.0409838537
2020-11,Social,1085.6807681947
2020-12,(Other),20520.614701147355
2020-12,Direct,67926.67199570847
2020-12,Display,3408.241047309128
2020-12,Email,67.7717906476774
2020-12,Organic Search,155482.91704388888
2020-12,Paid Search,40038.57506876964
2020-12,Referral,15310.302333995807
2020-12,Social,1133.5996475644517
2021-01,(Other),19429.553484006712
2021-01,Direct,65389.06206295039
2021-01,Display,5496.663130987162
2021-01,Email,47.76268830503226
2021-01,Organic Search,156577.17797267655
2021-01,Paid Search,39884.753309761356
2021-01,Referral,13158.205771628162
2021-01,Social,1113.2097313157742
2021-02,(Other),16403.132978675283
2021-02,Direct,56690.510051002144
2021-02,Display,5612.875457359321
2021-02,Email,25.022234766142855
2021-02,Organic Search,156380.87450630195
2021-02,Paid Search,28622.816591201175
2021-02,Referral,12544.315894158892
2021-02,Social,1252.5957402093927
2021-03,(Other),17290.84003501151
2021-03,Direct,58339.18788168404
2021-03,Display,5296.974864043388
2021-03,Email,125.29094717574195
2021-03,Organic Search,176086.21141284672
2021-03,Paid Search,33239.94678609133
2021-03,Referral,12704.077494840643
2021-03,Social,1178.2187974683548
