"Year,month",channel_grouping,Leads_per_ad
2019-11,(Other),5.826933142459587
2019-11,Direct,6.618484509768367
2019-11,Display,5.850472623863124
2019-11,Organic Search,6.415973242703326
2019-11,Paid Search,7.863898642109809
2019-11,Referral,6.613026562581694
2019-11,Social,6.1292781799656195
2019-12,(Other),5.566560156927166
2019-12,Direct,6.286193621123856
2019-12,Display,5.357330049886622
2019-12,Organic Search,6.321799312011821
2019-12,Paid Search,6.9891832486603
2019-12,Referral,6.262770136302496
2019-12,Social,5.86814433142865
2020-01,(Other),5.377558544006763
2020-01,Direct,5.866992839767273
2020-01,Display,5.279474902881475
2020-01,Email,4.824624019854136
2020-01,Organic Search,6.144055256922277
2020-01,Paid Search,5.707211190079005
2020-01,Referral,6.066504789433456
2020-01,Social,5.432977049998664
2020-02,(Other),5.301439235807217
2020-02,Direct,5.6701876904857595
2020-02,Display,5.047300588235704
2020-02,Email,5.8512398505270315
2020-02,Organic Search,6.107675355755168
2020-02,Paid Search,5.601106539310571
2020-02,Referral,6.064610398202035
2020-02,Social,5.653340792516658
2020-03,(Other),5.119986649740389
2020-03,Direct,5.859827504046423
2020-03,Display,5.13139888101744
2020-03,Email,5.238820104958326
2020-03,Organic Search,6.101873786681017
2020-03,Paid Search,5.919836437671328
2020-03,Referral,5.960727301406221
2020-03,Social,5.352244767607616
2020-04,(Other),5.195429055637512
2020-04,Direct,6.2535365733324175
2020-04,Display,5.04061284335471
2020-04,Email,5.1366892209568
2020-04,Organic Search,6.0576082187077285
2020-04,Paid Search,6.0672618286066555
2020-04,Referral,5.65681256031004
2020-04,Social,5.673418159827349
2020-05,(Other),5.285383085977623
2020-05,Direct,6.148548175126628
2020-05,Display,5.09014427265404
2020-05,Email,5.245204496018062
2020-05,Organic Search,6.1883896624793975
2020-05,Paid Search,7.105226063241106
2020-05,Referral,6.223057220193858
2020-05,Social,5.526001062665354
2020-06,(Other),5.444948467899741
2020-06,Direct,6.146882762539668
2020-06,Display,5.6662798938774
2020-06,Email,5.654052964544021
2020-06,Organic Search,6.225883708705651
2020-06,Paid Search,6.387494748440471
2020-06,Referral,6.626275333838381
2020-06,Social,5.591399859192243
2020-07,(Other),5.158750520506267
2020-07,Direct,5.54100529124577
2020-07,Display,5.083041094211004
2020-07,Email,4.776759441480296
2020-07,Organic Search,5.756926082743925
2020-07,Paid Search,5.451924304109652
2020-07,Referral,5.5823997980682565
2020-07,Social,4.980633304080723
2020-08,(Other),5.095385632821528
2020-08,Direct,5.667602808773425
2020-08,Display,5.373164324518715
2020-08,Email,4.541617457571095
2020-08,Organic Search,5.716730952018439
2020-08,Paid Search,5.472330412429967
2020-08,Referral,5.48760189933179
2020-08,Social,4.823881380614001
2020-09,(Other),5.110181077420031
2020-09,Direct,5.3694095240235695
2020-09,Display,5.90123066562398
2020-09,Email,4.90848099565849
2020-09,Organic Search,5.7063947373185355
2020-09,Paid Search,5.299350167929286
2020-09,Referral,5.54626094049642
2020-09,Social,5.045262425796471
2020-10,(Other),5.216476701006726
2020-10,Direct,5.317176448073224
2020-10,Display,5.377630194681589
2020-10,Email,5.02811476584827
2020-10,Organic Search,5.677640671875576
2020-10,Paid Search,5.431433703848102
2020-10,Referral,5.310447521977535
2020-10,Social,5.0326402549423666
2020-11,(Other),5.252651253558654
2020-11,Direct,5.261036301166485
2020-11,Display,4.795047614479183
2020-11,Email,4.826092117500667
2020-11,Organic Search,5.559897858879621
2020-11,Paid Search,5.232994870164005
2020-11,Referral,5.2669960820393715
2020-11,Social,4.94832669044366
2020-12,(Other),5.195365220991652
2020-12,Direct,5.32600505327641
2020-12,Display,4.977473776902456
2020-12,Email,4.629155906028834
2020-12,Organic Search,5.499670606422153
2020-12,Paid Search,5.317231882119687
2020-12,Referral,5.251989881507643
2020-12,Social,4.9479219470025635
2021-01,(Other),5.142835926701056
2021-01,Direct,5.344519080673676
2021-01,Display,4.93541419984964
2021-01,Email,4.60700887962011
2021-01,Organic Search,5.523827205747805
2021-01,Paid Search,5.229224182610579
2021-01,Referral,5.120382796976804
2021-01,Social,4.937582538180671
2021-02,(Other),5.1144615747367315
2021-02,Direct,5.288651691792892
2021-02,Display,4.867194229127036
2021-02,Email,4.3147644114000085
2021-02,Organic Search,5.558811908462125
2021-02,Paid Search,5.1694385018740405
2021-02,Referral,5.192987202020271
2021-02,Social,4.964355263625433
2021-03,(Other),5.152400197839627
2021-03,Direct,5.321039001679719
2021-03,Display,5.028299627495578
2021-03,Email,5.073401331777126
2021-03,Organic Search,5.631883088904872
2021-03,Paid Search,5.285731017648334
2021-03,Referral,5.183155222685331
2021-03,Social,4.883579722594347
