"Year,month",vertical,Avg_leads
2019-01,Auto,319993.23266043264
2019-01,Generalist,313408.4903602189
2019-01,Jobs,62839.82611441741
2019-01,Property,247282.10708781937
2019-01,Services,15489.541105343613
2019-02,Auto,287603.9548529743
2019-02,Generalist,305523.38316628756
2019-02,Jobs,58844.336401166365
2019-02,Property,227023.52645354657
2019-02,Services,14968.226161911214
2019-03,Auto,277251.3563863588
2019-03,Generalist,264960.7900050614
2019-03,Jobs,57516.94829552516
2019-03,Property,240574.0894367073
2019-03,Services,15129.776942631745
2019-04,Auto,274687.5823852408
2019-04,Generalist,253524.24483564246
2019-04,Jobs,55421.56443340141
2019-04,Property,238811.78287450154
2019-04,Services,13564.319541363
2019-05,Auto,261944.9328901454
2019-05,Generalist,250298.7655539448
2019-05,Jobs,40363.201160133096
2019-05,Property,206568.6582901184
2019-05,Services,12856.034221742191
2019-06,Auto,221243.47225741018
2019-06,Generalist,247109.87486402364
2019-06,Jobs,37707.538282284404
2019-06,Property,193335.88648209986
2019-06,Services,10504.7740463512
2019-07,Auto,280459.62348968483
2019-07,Generalist,267256.3098671709
2019-07,Jobs,60810.82710792407
2019-07,Property,270667.0099354526
2019-07,Services,13687.205703600774
2019-08,Auto,267738.9532147447
2019-08,Generalist,268190.9093043239
2019-08,Jobs,54915.36361227677
2019-08,Property,252125.56685595668
2019-08,Services,16177.737119853355
2019-09,Auto,265064.57168494014
2019-09,Generalist,268811.43607258284
2019-09,Jobs,55577.9637239948
2019-09,Property,241678.34736492753
2019-09,Services,14783.433125741867
2019-10,Auto,274068.46794098645
2019-10,Generalist,272024.7228473059
2019-10,Jobs,48867.123685800005
2019-10,Property,241736.0776919251
2019-10,Services,14435.089099183226
2019-11,Auto,278268.5578284215
2019-11,Generalist,262554.28258777055
2019-11,Jobs,48751.018339298396
2019-11,Property,255162.62912911852
2019-11,Services,13418.111899320465
2019-12,Auto,289405.6338546764
2019-12,Generalist,265582.35029294685
2019-12,Jobs,51282.15282046374
2019-12,Property,242799.08091011387
2019-12,Services,14302.260868224967
2020-01,Auto,293622.4947009524
2020-01,Generalist,248478.1406561549
2020-01,Jobs,54244.52218598129
2020-01,Property,238038.2829963544
2020-01,Services,12148.646944525935
2020-02,Auto,283198.12035304913
2020-02,Generalist,241705.06382745772
2020-02,Jobs,54669.98376340779
2020-02,Property,252870.92450827715
2020-02,Services,10069.672682238208
2020-03,Auto,205771.98206886262
2020-03,Generalist,249370.6006893486
2020-03,Jobs,36773.2513436907
2020-03,Property,176804.23050911253
2020-03,Services,7758.1550186423865
2020-04,Auto,128166.91527416452
2020-04,Generalist,339294.7168404184
2020-04,Jobs,12454.380470198
2020-04,Property,110249.73500675368
2020-04,Services,6833.7680456464
2020-05,Auto,218429.88984829394
2020-05,Generalist,370626.5961145928
2020-05,Jobs,29905.423349575547
2020-05,Property,199422.13328656077
2020-05,Services,11558.115400461225
2020-06,Auto,313918.9648490584
2020-06,Generalist,321235.94819322333
2020-06,Jobs,56230.872587075
2020-06,Property,286277.1499705391
2020-06,Services,10823.626502005201
2020-07,Auto,302153.4987408945
2020-07,Generalist,257305.33105890139
2020-07,Jobs,50880.682796071225
2020-07,Property,249352.72541272352
2020-07,Services,10273.935986579838
2020-08,Auto,290719.42275842733
2020-08,Generalist,246678.07295947403
2020-08,Jobs,47386.1075336958
2020-08,Property,241744.41822351638
2020-08,Services,11457.32790587784
2020-09,Auto,276009.520060888
2020-09,Generalist,223506.77393165758
2020-09,Jobs,51244.96774896431
2020-09,Property,247592.7098132379
2020-09,Services,9285.8274259456
2020-10,Auto,244502.51494448236
2020-10,Generalist,214307.32188397826
2020-10,Jobs,37467.0558365621
2020-10,Property,209066.67852354192
2020-10,Services,6073.4800723594835
2020-11,Auto,224026.52122900315
2020-11,Generalist,212369.12373046696
2020-11,Jobs,33887.552070865466
2020-11,Property,214557.73550598117
2020-11,Services,6263.0650740701
2020-12,Auto,254195.80575516762
2020-12,Generalist,204947.36635206034
2020-12,Jobs,31476.047796665036
2020-12,Property,226956.2938961806
2020-12,Services,8393.452903137388
2021-01,Auto,288107.5576147876
2021-01,Generalist,230854.30524820767
2021-01,Jobs,28897.791800871353
2021-01,Property,232900.30327819366
2021-01,Services,5919.212680295484
2021-02,Auto,233677.89696584432
2021-02,Generalist,203931.15907523117
2021-02,Jobs,28268.771570184712
2021-02,Property,233702.33783704386
2021-02,Services,5437.490559435464
2021-03,Auto,280682.6984371668
2021-03,Generalist,177358.7380844794
2021-03,Jobs,29483.962747341386
2021-03,Property,247659.8865127354
2021-03,Services,6187.810575371323
